0,1,2,3,4,5,6,7,8,9
5.715554,6.0843277,0.0,4.5277987,9.318363,0.06588957,0.16279261,0.0,0.0,0.0
6.0585475,6.568241,0.024583422,4.7860804,10.10552,0.4103489,0.59231955,0.0,0.0,0.0
5.740013,6.140517,0.0,4.8327746,9.50485,0.2075611,0.3142593,0.0,0.0,0.0
11.35198,12.241244,1.4998608,10.621106,19.718077,1.8141451,2.03847,0.17307472,0.0,0.0
7.9334064,8.545814,1.0321758,7.888117,13.775677,1.0297751,1.5213745,0.30756205,0.0,0.0
9.363377,9.889271,0.055974223,8.4015,15.869177,0.57043135,0.6101256,0.05277138,0.2660767,0.0
7.002468,7.3403406,0.01221668,5.962684,11.786497,0.526004,0.54344195,0.0,0.0,0.0
6.6042056,6.9351125,0.58523417,5.922411,11.1008625,0.69318354,1.0119741,0.05490687,0.0,0.0
6.1304336,6.6343317,0.0,4.706617,10.397205,0.4588657,0.50796103,0.0,0.0,0.0
6.6111007,7.3400364,0.38374752,5.6121745,11.4343815,0.61005545,1.0455099,0.0,0.0,0.0
6.305773,6.775557,0.31802362,5.3921304,10.751727,0.8013435,0.9350612,0.0,0.0,0.0
8.534115,9.043038,1.3285592,8.540847,14.605519,1.1132014,1.6796073,0.29716626,0.0,0.0
9.598018,10.238874,1.0326985,8.418239,16.459808,1.5810556,1.5153368,0.22049385,0.0,0.0
8.375719,9.115425,1.319687,8.240677,14.523241,1.2716186,1.8360682,0.47406238,0.0,0.0
9.067799,9.554649,1.0558239,8.611232,15.301652,0.977096,1.4276379,0.18088953,0.0,0.0
5.6886797,5.9853277,0.0,4.6517644,9.425546,0.21288967,0.23476289,0.0,0.093256414,0.0
7.082949,7.5431633,0.38288006,6.039506,12.025114,0.86071426,1.0538355,0.0,0.0,0.0
7.9578133,8.312151,0.72914165,7.3928246,13.291703,0.9462705,1.1027886,0.0248827,0.0,0.0
6.852083,7.339924,0.0,4.481658,11.369475,0.52882445,0.2322691,0.0,0.0,0.0
7.312177,7.8703322,0.4392075,6.28835,12.374364,0.83056873,1.0164644,0.0,0.0,0.0
7.3830514,7.7646623,0.18770152,6.2704744,12.292276,0.751418,0.6457255,0.0,0.0,0.0
9.464895,10.418746,1.6274397,9.1156645,16.519842,1.4742389,2.2465868,0.616681,0.0,0.0
6.157345,6.559849,0.0,5.021271,10.398401,0.44602835,0.27376342,0.0,0.0,0.0
6.0011168,6.5347047,0.0,4.585353,10.017302,0.22511247,0.46861607,0.0,0.0,0.0
4.5501866,4.7580066,0.16028348,4.212973,7.5030403,0.09657876,0.42846996,0.0,0.0,0.0
5.5558887,6.0495553,0.27398553,4.8185444,9.489538,0.83190256,0.77545315,0.001941409,0.0,0.0
6.401586,6.719099,0.0,5.4112544,10.585247,0.33461046,0.3848515,0.0,0.0,0.0
5.9039907,6.419311,0.10961617,5.355686,10.149879,0.39901787,0.6935524,0.019393299,0.0,0.0
7.128972,7.63682,0.37267467,5.863272,11.949699,0.6441004,0.9787863,0.0,0.0,0.0
4.7380056,4.9848046,0.0,3.7404163,7.690926,0.05729866,0.0,0.0,0.0,0.0
6.763579,7.246451,0.0,5.340383,11.407827,0.5114019,0.56899744,0.0,0.0,0.0
11.446047,12.743991,2.4154778,11.369225,20.502478,2.1069868,3.2006721,1.1388854,0.0,0.0
5.593777,6.141611,0.0,3.968588,9.170725,0.09767659,0.047850866,0.0,0.0,0.0
7.620383,8.031072,0.5391754,7.309246,12.914416,0.6223801,0.9587403,0.0,0.0,0.0
6.6352186,6.9194474,0.62598675,6.0104074,10.90291,0.8012088,0.84515697,0.0038991906,0.0,0.0
8.150215,8.825705,0.9256006,7.234348,14.036805,1.1482179,1.591,0.35210258,0.0,0.0
7.770173,8.405757,0.08001711,6.0021453,13.04405,0.8076292,0.8786632,0.0,0.0,0.0
6.1738687,6.577126,0.0,4.812647,10.250726,0.18836725,0.24687897,0.0,0.0,0.0
6.0394425,6.520144,0.5551088,5.3716087,10.372912,0.60167366,1.1192938,0.25524086,0.23553707,0.0
8.027275,8.6626,0.41652507,7.253219,13.84627,0.8993096,0.98021764,0.0,0.0,0.0
6.3228917,6.580663,0.21894643,5.3399024,10.427115,0.71139693,0.66190803,0.0,0.0,0.0
6.636545,7.1763597,0.0,4.6496124,10.930826,0.0,0.14051892,0.0,0.0,0.0
8.881408,9.599849,0.0,7.619217,15.2263775,0.5954859,0.761749,0.0,0.0,0.0
7.93473,8.305783,1.0583103,7.4885583,13.419534,1.1844311,1.2830542,0.18507339,0.0,0.0
7.972938,8.507874,0.84999865,7.8800073,13.684198,0.8966928,1.2557969,0.05091315,0.0,0.0
8.728694,9.449679,1.020493,8.255862,15.269468,1.3205631,1.5888253,0.26394,0.0,0.0
6.456763,6.944045,0.0,4.380882,10.726417,0.46109986,0.3137501,0.0,0.0,0.0
6.938206,7.36,1.3983085,6.75253,11.963302,0.93488604,1.7600405,0.5544745,0.19523832,0.0
5.8772864,6.378046,0.0,4.142341,9.618274,0.11379042,0.12647898,0.0,0.0,0.0
10.242909,10.97928,1.4719441,8.98568,17.470575,1.7731361,2.2294495,0.38026202,0.0,0.0
8.40934,9.04593,2.00717,8.575205,14.759605,1.7495956,2.4022224,0.8711472,0.0,0.0
9.828298,10.47899,1.9687412,9.909525,17.140379,1.6806614,2.4418216,0.58519995,0.0,0.0
4.532582,4.7585807,0.0,3.5472307,7.2661753,0.0,0.0,0.0,0.0,0.0
6.9289703,7.6808357,1.2657696,7.0664773,12.296427,1.0249004,1.7882681,0.5690633,0.0,0.0
